order_id,customer_id,order_date,amount,status
2001,1001,2022/07/15,120.5,Complete
2002,1002,15-07-2022,,Pending
2003,1003,2022-07-18,250.0,shipped
2004,1004,20220719,0.0,complete
2005,1005,2022-07-20,-45.0,failed
2006,1006,2022/07/21,500.0,Complete
2007,1007,21-07-2022,300.0,shipped
2008,1008,20220722,100.75,pending
2009,1009,22-07-2022,200.0,Cancelled
2010,1010,2022/07/23,,complete
2011,1011,23/07/2022,340.9,Complete
2012,1012,20220724,150.5,complete
2013,1013,24-07-2022,180.0,complete
2014,1014,2022-07-25,90.0,shipped
2015,1015,2022-07-26,0.0,Pending
